,,,,,,,C,,,WP,,,PC,,,CP,,,IA,,,E,,,T,,,Overall
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7407407407407407,0.545144804088586,0.6280667320902845,0.9,0.42857142857142855,0.5806451612903225,0.8121546961325967,0.7903225806451613,0.8010899182561307,0.810126582278481,0.764505119453925,0.7866549604916593,0.8944392082940622,0.8827906976744186,0.8885767790262172,1.0,0.84,0.9130434782608696,0.9434889434889435,0.9528535980148883,0.9481481481481483,0.8471100062150404,0.7858172383972326,0.8153132944519216,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7268817204301076,0.5699831365935919,0.6389413988657845,0.9,0.42857142857142855,0.5806451612903225,0.7868020304568528,0.8333333333333334,0.8093994778067884,0.8118899733806566,0.7807167235494881,0.7959982601130927,0.8762790697674419,0.8762790697674419,0.8762790697674419,1.0,0.8,0.888888888888889,0.9482758620689655,0.9553349875930521,0.9517923362175525,0.8375757575757575,0.7953956834532374,0.8159409594095941,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7547169811320755,0.545144804088586,0.6330365974282888,0.9,0.42857142857142855,0.5806451612903225,0.775,0.8333333333333334,0.8031088082901554,0.80875781948168,0.7721843003412969,0.7900480139676997,0.8917910447761194,0.8893023255813953,0.8905449464368886,0.9166666666666666,0.88,0.8979591836734694,0.9535452322738386,0.967741935483871,0.9605911330049262,0.8462246777163904,0.7947535312770251,0.8196818789950945,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7172131147540983,0.5942275042444821,0.649953574744661,0.8333333333333334,0.47619047619047616,0.6060606060606061,0.8071065989847716,0.8548387096774194,0.8302872062663185,0.8,0.7781569965870307,0.7889273356401385,0.8837638376383764,0.8911627906976745,0.8874478925428438,0.7857142857142857,0.88,0.830188679245283,0.9481481481481482,0.9528535980148883,0.9504950495049505,0.8333333333333334,0.8052434456928839,0.8190476190476189,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.765,0.5221843003412969,0.6206896551724137,0.9,0.42857142857142855,0.5806451612903225,0.8105263157894737,0.8279569892473119,0.8191489361702128,0.7972972972972973,0.7551194539249146,0.7756354075372479,0.8985507246376812,0.8651162790697674,0.8815165876777251,1.0,0.88,0.9361702127659575,0.9436274509803921,0.9553349875930521,0.9494451294697903,0.8475590551181102,0.7759515570934256,0.8101761252446185,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.6979166666666666,0.5706984667802385,0.6279287722586692,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.8009950248756219,0.8655913978494624,0.8320413436692506,0.8098214285714286,0.7738907849829352,0.7914485165794066,0.892422825070159,0.8874418604651163,0.8899253731343284,0.8148148148148148,0.88,0.8461538461538461,0.9462102689486552,0.9602977667493796,0.9532019704433498,0.8369499698613623,0.8005188815220524,0.8183291586857228,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7591743119266054,0.5638841567291312,0.6471163245356794,0.9090909090909091,0.47619047619047616,0.6249999999999999,0.806282722513089,0.8279569892473119,0.8169761273209549,0.806970509383378,0.7704778156996587,0.7883020515058926,0.8897126969416126,0.8930232558139535,0.8913649025069637,0.7586206896551724,0.88,0.8148148148148148,0.9582309582309583,0.967741935483871,0.9629629629629629,0.8465770171149144,0.7985010089362928,0.8218365227711022,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7621247113163973,0.5621805792163543,0.6470588235294118,0.9090909090909091,0.47619047619047616,0.6249999999999999,0.8051282051282052,0.8440860215053764,0.8241469816272967,0.8012152777777778,0.787542662116041,0.7943201376936317,0.8801115241635687,0.8809302325581395,0.8805206880520687,0.9565217391304348,0.88,0.9166666666666666,0.9486552567237164,0.9627791563275434,0.9556650246305419,0.8417702334040619,0.8005188815220524,0.8206264775413712,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7268722466960352,0.5612244897959183,0.6333973128598848,0.9090909090909091,0.47619047619047616,0.6249999999999999,0.801980198019802,0.8709677419354839,0.8350515463917527,0.7984154929577465,0.7738907849829352,0.7859618717504332,0.8900279589934762,0.8883720930232558,0.8891992551210428,0.88,0.88,0.88,0.9532019704433498,0.9602977667493796,0.9567367119901112,0.8385243423042033,0.799135446685879,0.8183562048103881,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7360178970917226,0.5595238095238095,0.6357487922705314,0.9,0.42857142857142855,0.5806451612903225,0.8040201005025126,0.8602150537634409,0.8311688311688312,0.8041329739442947,0.7636518771331058,0.7833698030634573,0.8906691800188501,0.8790697674418605,0.8848314606741573,0.92,0.92,0.92,0.9478908188585607,0.9478908188585607,0.9478908188585607,0.8419275629220381,0.7904899135446686,0.8153983353151011,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7222222222222222,0.5315161839863713,0.6123650637880274,0.9,0.42857142857142855,0.5806451612903225,0.585635359116022,0.5698924731182796,0.5776566757493188,0.7061482820976492,0.6663822525597269,0.6856892010535557,0.7832233741753063,0.7730232558139535,0.7780898876404494,0.8571428571428571,0.72,0.782608695652174,0.8845208845208845,0.8933002481389578,0.888888888888889,0.7510876320696085,0.6967425771115595,0.7228951697323165,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7139784946236559,0.5608108108108109,0.6281929990539262,0.9,0.42857142857142855,0.5806451612903225,0.583756345177665,0.6182795698924731,0.6005221932114883,0.7009760425909495,0.674061433447099,0.6872553284036539,0.7497674418604651,0.7497674418604651,0.7497674418604651,0.75,0.6,0.6666666666666665,0.8866995073891626,0.8933002481389578,0.8899876390605687,0.7354545454545455,0.6986183074265976,0.7165633303808681,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7429245283018868,0.537542662116041,0.6237623762376238,0.9,0.42857142857142855,0.5806451612903225,0.615,0.6612903225806451,0.6373056994818652,0.6961572832886506,0.6646757679180887,0.6800523788738542,0.7630597014925373,0.7609302325581395,0.7619934792734048,0.6666666666666666,0.64,0.6530612244897959,0.8924205378973105,0.9057071960297767,0.8990147783251232,0.7443216697360344,0.6992502883506344,0.7210823669342848,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7069672131147541,0.5867346938775511,0.641263940520446,0.75,0.42857142857142855,0.5454545454545454,0.6294416243654822,0.6666666666666666,0.6475195822454308,0.6885964912280702,0.6697952218430034,0.6790657439446367,0.7306273062730627,0.7367441860465116,0.7336729967577581,0.7142857142857143,0.8,0.7547169811320756,0.8716049382716049,0.8759305210918115,0.8737623762376238,0.7239117471675611,0.6997118155619596,0.7116060961313012,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.75,0.5119453924914675,0.6085192697768761,0.9,0.42857142857142855,0.5806451612903225,0.6473684210526316,0.6612903225806451,0.6542553191489362,0.6783783783783783,0.6424914675767918,0.6599474145486416,0.7652173913043478,0.7367441860465116,0.7507109004739336,0.8636363636363636,0.76,0.8085106382978724,0.8995098039215687,0.9106699751861043,0.905055487053021,0.744251968503937,0.6813725490196079,0.7114255607406292,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6791666666666667,0.555366269165247,0.6110590440487348,0.8333333333333334,0.47619047619047616,0.6060606060606061,0.6616915422885572,0.7150537634408602,0.6873385012919896,0.6839285714285714,0.6535836177474402,0.668411867364747,0.7717492984097287,0.7674418604651163,0.7695895522388059,0.6666666666666666,0.72,0.6923076923076923,0.8875305623471883,0.9007444168734491,0.8940886699507389,0.7356841470765522,0.7036609974055924,0.719316340061883,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7345537757437071,0.5468483816013628,0.626953125,0.8181818181818182,0.42857142857142855,0.5625,0.6544502617801047,0.6720430107526881,0.663129973474801,0.6854334226988382,0.6544368600682594,0.6695766041030118,0.7562557924003707,0.7590697674418605,0.7576601671309192,0.6206896551724138,0.72,0.6666666666666666,0.8968058968058968,0.9057071960297767,0.9012345679012345,0.7396883593033914,0.697895647160565,0.718184514980718,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7505773672055427,0.5546075085324232,0.6378802747791954,0.8181818181818182,0.42857142857142855,0.5625,0.6666666666666666,0.6989247311827957,0.6824146981627296,0.6883680555555556,0.6766211604095563,0.6824440619621343,0.7555762081784386,0.7562790697674419,0.7559274755927476,0.782608695652174,0.72,0.7499999999999999,0.9070904645476773,0.9205955334987593,0.9137931034482759,0.7453773870869961,0.7090542099192618,0.7267622284616522,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7136563876651982,0.5510204081632653,0.6218809980806141,0.8181818181818182,0.42857142857142855,0.5625,0.6584158415841584,0.7150537634408602,0.6855670103092784,0.6663732394366197,0.6459044368600683,0.6559792027729637,0.7688723205964585,0.7674418604651163,0.7681564245810055,0.72,0.72,0.72,0.896551724137931,0.9032258064516129,0.8998763906056859,0.7348049591775022,0.7002881844380403,0.7171314741035856,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7142857142857143,0.545144804088586,0.6183574879227053,0.9,0.42857142857142855,0.5806451612903225,0.6984924623115578,0.7473118279569892,0.7220779220779221,0.6756513926325247,0.6416382252559727,0.6582056892778994,0.7332704995287465,0.7237209302325581,0.7284644194756553,0.76,0.76,0.76,0.9057071960297767,0.9057071960297767,0.9057071960297767,0.7308990487879717,0.6866532141827616,0.7080856123662307,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.37819025522041766,0.2815198618307427,0.3227722772277228,0.9,0.42857142857142855,0.5806451612903225,0.22099447513812154,0.21505376344086022,0.217983651226158,0.5171790235081374,0.4880546075085324,0.5021949078138718,0.6069745523091423,0.5990697674418605,0.6029962546816479,0.47619047619047616,0.4,0.43478260869565216,0.7886977886977887,0.7965260545905707,0.7925925925925925,0.5467827168169102,0.5082346142733314,0.5268044324648098,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.3771551724137931,0.3022452504317789,0.3355704697986577,0.9,0.42857142857142855,0.5806451612903225,0.15228426395939088,0.16129032258064516,0.1566579634464752,0.5501330967169477,0.5290102389078498,0.5393649412788168,0.5906976744186047,0.5906976744186047,0.5906976744186047,0.55,0.44,0.48888888888888893,0.8054187192118226,0.8114143920595533,0.8084054388133499,0.5477417399211882,0.5221034383126264,0.5346153846153845,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.3867924528301887,0.28324697754749567,0.3270189431704885,0.9,0.42857142857142855,0.5806451612903225,0.24,0.25806451612903225,0.2487046632124352,0.5603217158176944,0.5349829351535836,0.5473592317765168,0.5811567164179104,0.5795348837209302,0.5803446669771773,0.4166666666666667,0.4,0.4081632653061225,0.7897310513447433,0.8014888337468983,0.7955665024630542,0.5537139349294046,0.5212366368101705,0.5369846703378479,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.35330578512396693,0.2958477508650519,0.3220338983050848,0.75,0.42857142857142855,0.5454545454545454,0.20812182741116753,0.22043010752688172,0.21409921671018278,0.5219298245614035,0.507679180887372,0.5147058823529411,0.533210332103321,0.5376744186046511,0.5354330708661417,0.39285714285714285,0.44,0.4150943396226415,0.7901234567901234,0.794044665012407,0.7920792079207921,0.5149253731343284,0.4985549132947977,0.5066079295154186,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.39097744360902253,0.2703639514731369,0.319672131147541,0.9,0.42857142857142855,0.5806451612903225,0.20526315789473684,0.20967741935483872,0.2074468085106383,0.527027027027027,0.4991467576791809,0.5127081507449606,0.6096618357487923,0.5869767441860465,0.5981042654028436,0.4090909090909091,0.36,0.3829787234042554,0.7941176470588235,0.8039702233250621,0.7990135635018496,0.5522999369880277,0.5067938710610003,0.5285692748379315,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.35564853556485354,0.29411764705882354,0.3219696969696969,0.75,0.42857142857142855,0.5454545454545454,0.19900497512437812,0.21505376344086022,0.20671834625322996,0.48928571428571427,0.46757679180887374,0.47818499127399655,0.6052385406922357,0.6018604651162791,0.6035447761194029,0.37037037037037035,0.4,0.3846153846153846,0.7872860635696821,0.7990074441687345,0.793103448275862,0.5265379975874548,0.5046242774566474,0.5153482880755608,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.3724137931034483,0.28027681660899656,0.31984205330700893,0.8181818181818182,0.42857142857142855,0.5625,0.193717277486911,0.1989247311827957,0.1962864721485411,0.5540661304736372,0.5290102389078498,0.5412483631601921,0.58758109360519,0.5897674418604651,0.5886722376973073,0.3448275862068966,0.4,0.3703703703703704,0.7960687960687961,0.8039702233250621,0.7999999999999999,0.5490675634362581,0.5190751445086705,0.5336502748477195,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.3805104408352668,0.28324697754749567,0.3247524752475247,0.8181818181818182,0.42857142857142855,0.5625,0.1794871794871795,0.1881720430107527,0.1837270341207349,0.5260416666666666,0.5170648464163823,0.521514629948365,0.5882899628252788,0.5888372093023255,0.5885634588563459,0.43478260869565216,0.4,0.41666666666666663,0.7995110024449877,0.8114143920595533,0.8054187192118226,0.5410979678495602,0.5154579601271309,0.5279668540988459,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.36644591611479027,0.2867012089810017,0.32170542635658916,0.7272727272727273,0.38095238095238093,0.5,0.16831683168316833,0.1827956989247312,0.1752577319587629,0.5105633802816901,0.4948805460750853,0.5025996533795494,0.5806150978564771,0.5795348837209302,0.5800744878957169,0.32,0.32,0.32,0.8054187192118226,0.8114143920595533,0.8084054388133499,0.5281306715063521,0.5044784744293557,0.5160336929215309,
th_train_iou= 0.6, th_nms= 0.01, th_p= 1,,0.3685393258426966,0.2837370242214533,0.3206256109481916,0.9,0.42857142857142855,0.5806451612903225,0.25125628140703515,0.26881720430107525,0.2597402597402597,0.5166217430368374,0.4906143344709898,0.5032822757111598,0.5834118755890669,0.575813953488372,0.5795880149812734,0.48,0.48,0.48,0.8014888337468983,0.8014888337468983,0.8014888337468983,0.538083538083538,0.5063583815028901,0.5217391304347825,
